1 4 7
12 7 12
14 1 39
187 1 121
84 1 187
109 1 108
29 7 29
7 4 5
45 1 9
83 7 83
109 1 155
5 1 3
25 1 32
45 1 14
42 7 42
23 1 53
11 7 11
6 7 6
50 7 50
38 2 40
66 2 78
30 1 36
38 2 70
37 1 1
48 7 48
13 2 34
32 7 32
3 2 39
1 5 3
9 1 34
78 1 77
21 1 80
52 1 51
3 2 79
83 1 7
78 1 45
21 1 76
21 1 30
9 1 76
53 1 14
9 1 8
155 2 121
9 1 39
19 1 2
10 7 10
14 1 32
14 1 7
7 2 29
14 7 14
1 2 42
28 1 1
22 7 22
73 1 9
21 1 13
21 1 37
30 1 7
49 7 49
22 1 14
35 2 73
25 1 3
32 2 3
3 2 34
45 2 77
16 7 16
62 1 110
9 1 1
1 1 5
7 1 3
18 1 1
75 1 35
14 1 5
66 1 56
73 2 74
75 1 74
14 1 34
2 1 5
3 2 53
18 2 3
109 1 2
17 1 19
154 7 154
21 1 42
29 1 28
155 7 155
49 1 48
21 1 29
76 1 79
38 1 25
57 2 55
41 7 41
25 1 1
65 1 17
64 1 54
14 1 20
84 1 21
56 1 57
48 1 83
121 7 121
80 1 7
60 1 11
1 5 5
5 2 79
52 1 41
3 5 3
110 1 25
40 7 40
19 1 33
150 2 154
65 1 78
187 1 3
51 7 51
25 1 24
5 4 1
7 2 10
57 7 57
62 1 61
35 1 25
34 2 30
83 1 62
50 1 45
22 2 57
53 7 53
7 2 36
6 1 1
23 7 23
27 1 19
76 1 3
7 2 33
9 7 9
3 4 1
66 1 51
21 2 187
7 2 39
21 1 34
87 2 17
14 1 1
7 7 7
38 1 21
16 1 18
71 1 38
5 2 108
52 7 52
65 1 87
41 1 40
74 1 14
77 1 62
91 1 23
32 2 20
3 4 5
109 7 109
51 1 50
26 7 26
9 1 32
9 1 20
54 7 54
18 2 5
39 2 5
109 1 121
66 7 66
51 1 71
7 2 42
13 7 13
31 7 31
3 1 1
3 2 36
5 2 75
65 1 60
41 2 51
9 1 7
74 7 74
61 7 61
46 7 46
64 2 66
1 1 7
29 1 74
27 2 52
71 1 70
62 1 52
62 1 17
26 2 38
65 7 65
3 1 7
17 2 27
5 4 3
36 1 28
27 7 27
5 1 34
27 2 64
21 1 7
7 2 22
5 2 32
31 1 9
21 1 3
4 1 89
28 1 14
5 7 5
12 1 5
3 7 3
56 7 56
48 1 47
34 7 34
20 7 20
79 7 79
42 2 8
79 1 28
42 2 13
150 7 150
80 7 80
64 1 63
154 2 2
7 5 3
64 7 64
83 1 2
42 2 1
47 1 25
38 7 38
16 1 22
14 1 13
35 7 35
54 1 21
11 1 12
80 2 32
187 1 48
14 1 30
4 7 4
1 4 1
41 1 26
32 2 1
48 1 109
8 7 8
65 1 64
2 1 3
6 2 3
5 2 34
11 1 3
7 1 5
5 5 7
91 7 91
46 2 47
2 2 5
63 1 65
108 1 91
62 7 62
55 1 25
36 1 35
78 7 78
75 7 75
77 7 77
3 5 7
1 2 75
70 1 48
19 7 19
30 1 3
48 1 46
18 1 3
7 2 34
18 7 18
56 1 22
83 2 109
14 1 24
76 7 76
21 1 39
60 7 60
39 2 13
16 1 12
27 1 23
89 1 11
73 1 25
37 1 75
39 2 3
5 1 1
34 2 13
55 7 55
21 1 32
11 1 7
37 1 5
11 1 6
57 1 21
73 7 73
21 1 20
21 7 21
61 1 21
33 7 33
16 1 3
28 7 28
2 7 2
40 1 9
89 7 89
79 1 73
56 2 51
5 1 7
48 1 82
60 2 87
21 1 8
32 2 7
84 7 84
54 2 63
65 1 66
83 1 150
17 7 17
4 2 62
1 1 32
45 2 49
5 5 3
50 1 49
65 1 27
3 5 5
19 1 7
25 1 8
25 1 5
56 1 55
121 2 3
21 1 24
39 2 1
70 7 70
47 7 47
7 2 32
1 2 39
23 1 6
52 2 110
19 1 5
76 1 5
34 2 1
74 1 9
65 1 31
12 2 7
16 1 7
83 1 154
19 1 18
83 1 4
25 7 25
30 7 30
32 2 13
41 1 38
35 1 9
1 2 32
187 7 187
63 7 63
39 2 76
121 2 2
21 1 1
62 1 27
7 1 39
80 1 29
1 1 10
87 1 16
24 7 24
75 1 73
37 7 37
2 2 7
3 2 42
30 2 42
25 1 42
108 7 108
39 7 39
39 2 20
5 1 32
17 1 16
1 7 1
36 7 36
34 2 3
7 2 4
3 2 48
110 7 110
14 1 37
5 2 42
1 2 34
109 1 5
5 2 39
3 1 42
14 1 42
109 1 65
9 1 5
42 2 24
21 7 21
5 1 39
33 1 9
39 2 24
82 1 21
26 1 21
108 2 65
87 7 87
82 7 82
71 7 71
46 1 21
45 7 45
23 1 3
? 1 JavaProgramData/60/1001.java

12 7 12
14 1 39
187 1 121
66 1 41
29 7 29
63 1 48
7 4 5
7 1 3
52 2 50
83 7 83
74 1 25
9 1 42
25 1 32
42 7 42
54 7 54
6 7 6
50 7 50
6 1 3
4 1 89
3 2 32
37 1 1
48 7 48
32 7 32
3 2 39
1 5 1
9 1 34
19 1 18
21 1 80
5 2 32
83 1 7
78 1 45
61 1 25
154 2 2
35 7 35
21 1 39
11 1 5
9 1 8
3 1 39
9 1 39
10 7 10
14 1 32
14 1 7
1 1 3
14 7 14
1 2 42
28 1 1
187 1 62
22 7 22
21 1 13
21 1 37
51 1 17
30 1 7
49 7 49
9 1 13
9 1 3
12 2 1
35 2 73
71 1 54
48 1 31
60 1 23
16 7 16
23 1 26
9 1 1
1 1 5
45 1 9
75 1 35
14 1 5
11 1 33
73 2 74
2 1 5
50 2 66
29 1 28
154 7 154
52 1 56
21 1 42
1 4 3
41 2 65
26 1 14
63 1 51
49 1 48
21 1 29
76 1 79
62 1 83
17 2 50
22 1 25
41 7 41
8 2 42
14 1 20
87 2 17
42 2 7
32 2 8
3 1 34
31 1 21
1 2 26
40 7 40
150 2 154
61 2 78
23 1 1
51 7 51
3 1 10
11 7 11
57 7 57
39 2 37
62 1 61
4 2 51
61 1 9
77 1 48
84 1 187
70 1 65
9 1 76
53 7 53
7 2 36
25 1 30
