1 4 7
57 2 55
18 2 1
50 1 81
1 5 7
5 1 43
50 8 51
81 8 50
41 1 40
6 8 11
51 1 50
113 1 51
56 1 55
7 8 23
87 2 60
65 8 70
62 1 47
39 2 5
1 2 18
39 2 20
47 8 48
21 8 55
34 2 3
113 2 52
5 2 12
1 5 5
8 8 9
3 7 1
42 2 3
11 1 7
87 8 65
45 8 71
7 2 42
9 8 45
51 2 56
9 1 1
73 2 35
52 1 41
65 1 82
45 2 51
11 1 1
29 2 3
1 8 9
1 14 5
44 2 7
3 8 109
21 1 5
3 4 1
38 1 9
46 1 9
3 12 7
34 8 21
7 2 2
7 8 21
50 1 49
25 1 30
14 1 24
14 1 3
21 1 1
14 1 5
19 8 27
31 2 46
39 2 3
11 1 3
5 11 3
24 8 14
9 8 35
14 1 1
23 2 11
107 1 48
1 2 6
43 2 1
21 1 32
27 8 65
7 12 3
49 2 38
5 7 1
14 8 57
3 8 25
7 5 1
32 8 9
9 8 31
17 8 65
44 1 9
9 8 74
37 8 25
109 1 3
54 1 21
15 8 3
14 1 30
28 2 35
3 8 83
1 7 3
55 1 21
6 1 5
25 8 47
57 2 33
41 1 54
32 2 7
1 4 5
21 8 26
7 8 76
108 2 3
9 1 7
42 8 25
31 1 9
65 1 17
1 2 32
5 14 7
5 1 1
7 7 5
66 1 56
7 5 3
7 12 5
70 1 65
2 2 3
4 8 83
66 1 51
5 1 3
31 1 14
23 1 2
1 11 5
7 2 32
7 2 15
38 2 48
35 1 9
51 2 45
15 2 7
6 2 1
25 1 7
21 1 20
25 1 42
4 1 89
38 2 49
65 1 31
51 1 61
25 8 82
25 1 8
56 2 51
11 1 33
1 7 5
108 8 109
83 1 65
14 1 76
7 2 75
56 1 33
50 2 61
9 8 46
7 4 5
83 1 2
82 8 65
9 1 32
61 8 65
1 2 43
48 8 49
49 2 81
71 2 50
16 1 53
22 2 1
27 2 60
11 2 23
14 1 42
46 1 14
46 1 25
35 2 73
14 8 45
50 1 38
61 8 48
73 8 29
13 8 21
10 8 5
3 2 29
32 8 21
66 8 62
40 1 25
3 5 7
6 1 1
5 2 32
74 8 75
19 1 26
33 2 57
25 1 39
9 8 47
48 8 111
11 8 89
46 2 31
73 1 21
25 8 33
41 1 22
26 2 7
2 8 83
10 2 3
63 2 107
61 2 50
7 2 44
51 1 31
7 8 25
7 2 53
11 1 6
46 2 47
42 2 5
27 8 51
57 1 14
76 1 75
25 1 37
5 7 7
7 2 6
9 8 10
51 1 46
61 2 17
35 2 28
7 2 18
36 8 37
33 2 3
3 2 2
20 2 39
5 8 80
60 2 87
29 1 28
60 8 65
20 8 21
21 8 53
39 8 25
84 1 83
80 8 9
6 2 3
62 1 46
36 2 3
46 8 48
21 8 54
46 2 64
51 1 27
3 2 108
27 2 61
25 8 31
19 1 1
33 1 25
43 8 5
23 1 7
3 8 11
19 1 7
84 1 109
38 8 50
1 8 25
62 2 41
108 2 62
4 2 3
26 8 19
5 8 9
5 8 21
7 2 26
64 2 46
89 8 4
31 8 51
63 1 62
21 8 73
113 8 65
7 8 18
109 2 83
11 8 87
51 1 71
5 8 6
32 2 13
18 2 7
31 8 65
65 1 111
21 1 7
45 2 63
31 1 25
24 2 34
7 4 3
5 8 12
43 1 25
45 8 113
13 8 25
9 1 20
62 2 108
48 1 64
82 1 25
65 1 113
25 8 40
52 8 65
30 1 3
17 2 61
111 2 87
83 1 4
36 1 73
5 11 7
51 8 113
65 1 60
9 8 44
12 2 7
7 4 1
21 8 31
47 1 9
8 2 39
22 8 19
39 8 21
27 2 17
16 8 17
14 8 46
82 2 52
64 2 61
64 8 48
8 2 32
52 1 62
5 8 2
28 8 79
70 2 54
54 8 41
22 2 54
21 8 38
33 8 11
19 1 22
40 2 54
56 8 66
9 1 80
30 1 7
1 8 12
30 8 25
53 8 16
9 1 5
34 2 5
3 2 36
51 8 81
5 8 16
73 8 36
32 2 5
1 12 7
22 1 14
32 8 14
83 13 82
21 8 47
61 2 64
113 1 45
21 1 39
13 2 32
64 1 70
48 1 61
14 8 15
20 2 34
113 2 17
21 1 13
23 1 26
7 8 19
25 8 46
62 1 66
5 4 7
39 2 24
81 1 51
51 8 66
26 8 23
49 8 50
87 2 111
3 1 15
80 1 79
26 1 21
14 8 61
3 2 42
42 8 14
9 8 26
15 1 14
8 8 25
48 2 38
34 8 14
5 8 18
1 11 7
29 2 7
48 1 31
71 1 107
109 1 108
81 2 49
31 8 48
3 1 7
76 2 34
14 1 32
32 2 8
49 1 48
53 1 21
14 1 34
17 1 16
18 1 5
25 1 3
74 1 9
9 1 39
25 1 1
52 2 82
3 8 37
45 1 14
5 2 79
27 1 19
24 8 9
75 8 76
19 8 33
111 8 65
79 2 5
21 1 8
7 8 30
3 4 7
16 1 5
61 8 51
34 8 25
34 2 1
54 2 40
39 2 13
54 8 64
76 8 14
109 1 62
24 2 39
27 1 23
20 8 25
1 12 5
60 1 23
14 1 7
3 2 4
34 2 20
12 1 1
30 1 29
16 1 7
65 1 52
32 2 24
39 8 9
1 8 5
1 2 22
80 1 5
75 1 74
1 8 19
5 4 1
7 8 14
14 8 31
42 2 7
18 8 19
11 8 27
50 2 71
12 2 5
7 2 29
12 8 16
83 8 84
14 8 22
1 8 14
29 1 35
5 5 1
65 1 87
5 8 14
83 2 109
28 1 25
62 8 52
25 1 34
48 1 46
21 1 34
111 2 61
71 1 63
32 2 1
61 1 14
9 8 38
5 14 3
65 8 83
3 8 21
3 7 5
83 1 3
1 8 21
23 8 27
13 2 39
107 8 71
75 2 7
7 11 3
46 8 51
62 8 109
63 2 45
18 1 7
12 1 5
55 2 57
3 4 5
17 2 27
25 8 43
55 8 56
9 1 24
54 2 70
65 1 61
65 2 4
25 8 28
7 8 16
27 1 11
28 8 29
34 2 76
37 1 36
17 2 113
9 1 42
29 8 30
5 5 7
2 1 1
54 2 22
38 1 21
33 1 19
40 8 41
64 1 54
7 8 11
42 8 9
10 1 9
7 8 3
52 2 113
42 2 13
3 2 33
2 8 23
22 8 41
9 1 8
7 2 12
46 8 62
3 8 30
7 11 5
41 8 52
41 2 62
26 1 9
16 1 12
1 8 11
47 1 21
53 2 7
71 1 45
3 2 39
21 1 3
20 8 9
30 8 14
63 8 71
3 5 1
87 1 11
1 2 34
79 8 80
13 2 42
70 8 64
45 1 9
65 1 27
38 8 111
47 2 46
34 2 24
2 1 5
61 2 27
4 2 65
5 1 10
31 1 21
25 1 20
1 8 6
61 2 111
19 1 18
3 8 14
5 2 34
5 2 42
14 1 39
2 2 7
3 2 10
3 8 5
3 2 6
82 6 83
111 1 48
8 8 21
25 1 13
47 8 62
62 8 63
3 1 44
47 1 25
109 8 84
1 8 2
60 2 27
14 8 35
7 14 5
111 1 38
29 1 73
3 2 34
1 11 3
37 1 3
35 8 29
24 2 32
89 1 11
1 5 3
71 8 51
39 2 8
23 8 60
6 2 7
107 2 63
44 8 3
39 8 14
5 2 39
79 1 28
56 1 57
3 11 7
48 8 107
35 1 14
48 1 47
57 8 56
7 8 9
76 1 7
33 8 56
? 1 CppProgramData/44/1004.cpp

1 4 7
38 1 14
1 5 7
56 1 38
81 8 50
46 1 9
6 8 11
34 2 1
24 8 14
56 1 55
7 8 76
43 1 21
3 14 5
50 1 81
5 2 10
42 8 21
50 8 48
109 1 7
1 5 5
30 1 1
3 7 1
111 1 45
26 8 41
7 7 3
9 1 7
11 1 7
1 2 10
7 2 42
21 8 46
5 8 19
9 1 1
52 1 41
5 7 3
84 1 83
29 2 3
1 8 9
45 8 111
1 14 5
11 1 12
21 1 5
12 8 11
7 2 6
3 12 7
34 8 21
7 2 2
46 8 62
50 1 49
43 1 1
14 1 3
21 1 1
29 2 1
21 1 13
31 2 46
16 2 11
39 2 3
25 1 32
55 2 38
109 1 108
14 1 1
25 8 61
9 8 54
46 2 66
23 2 11
3 4 7
7 5 3
49 1 51
21 1 32
27 8 65
113 1 62
7 12 3
66 2 52
49 2 38
5 7 1
3 8 25
28 8 75
22 1 9
32 8 9
57 1 25
44 1 9
9 8 74
37 8 25
51 8 52
52 8 65
3 1 1
8 8 14
14 1 30
28 2 35
83 1 48
3 8 83
5 12 7
6 1 5
1 7 3
16 8 27
24 2 42
7 12 5
31 8 62
21 8 26
37 8 21
65 8 81
25 8 45
109 2 83
21 8 43
48 1 50
5 1 44
14 1 13
5 1 1
16 1 12
61 1 21
42 2 3
11 2 16
16 1 22
4 8 83
34 2 3
111 2 31
31 1 14
7 2 32
39 8 25
3 11 7
75 1 28
35 1 25
25 1 7
21 1 20
22 8 16
1 4 3
20 8 21
7 1 10
108 8 109
38 2 33
9 8 22
9 1 34
62 1 61
7 2 75
56 1 33
52 1 51
9 8 46
76 8 25
7 4 5
83 1 2
33 1 14
61 8 65
23 1 3
9 1 30
34 8 14
8 2 42
11 2 23
41 2 51
3 12 5
51 1 111
40 8 41
66 1 56
3 7 7
65 1 52
18 8 19
5 11 3
13 8 21
10 8 5
1 2 42
3 2 29
32 8 21
39 2 8
13 2 32
6 1 1
48 2 4
74 8 75
14 8 28
51 2 41
25 1 39
109 1 65
9 8 47
48 8 111
11 8 89
46 2 31
73 1 21
19 1 18
2 2 3
3 2 18
2 8 83
48 2 45
32 2 3
14 1 5
33 8 56
30 8 9
46 2 47
34 2 8
83 13 110
108 2 65
76 1 75
25 1 37
19 8 17
11 1 6
31 2 111
9 8 10
62 8 66
35 2 28
65 8 109
36 8 37
25 8 110
20 2 39
21 8 82
1 14 3
29 1 28
19 1 5
4 1 89
55 1 25
2 8 109
1 1 5
41 1 26
47 2 61
41 1 57
6 2 3
38 2 49
62 1 46
5 4 3
36 2 3
46 8 48
38 8 56
25 8 31
6 8 23
80 8 9
40 2 57
5 1 10
27 1 16
13 8 14
28 1 21
84 1 109
38 8 50
3 14 7
4 2 3
12 2 7
5 8 21
17 8 48
89 8 4
31 8 51
9 1 80
21 8 73
113 8 65
7 8 9
45 2 48
5 8 6
32 2 13
62 8 113
21 1 7
65 1 66
48 8 83
24 2 34
7 4 3
16 1 18
14 8 33
9 1 20
110 8 65
65 1 113
52 2 27
80 1 7
30 1 3
9 1 24
36 1 73
5 8 7
23 1 6
3 2 32
9 8 44
21 8 31
14 8 47
61 8 62
42 2 24
1 12 7
15 2 1
42 8 9
16 1 3
45 1 25
5 2 43
18 2 5
48 1 47
5 11 7
65 1 46
41 1 40
7 1 5
10 1 14
21 8 38
66 8 65
7 7 1
20 2 32
66 1 62
3 5 1
3 2 42
21 1 34
1 2 15
1 8 12
7 14 5
3 2 39
1 2 32
5 12 3
15 8 5
3 2 36
7 8 80
73 8 36
32 2 5
25 1 5
3 2 4
32 8 14
113 2 61
2 2 7
40 1 9
1 2 29
9 1 32
16 2 19
14 8 15
20 2 34
61 1 25
42 2 5
51 1 47
5 5 3
4 2 48
21 8 28
5 8 25
8 2 39
49 8 50
3 1 15
80 1 79
26 1 21
7 8 11
42 8 14
56 8 66
33 2 38
15 1 14
62 2 56
44 2 1
39 2 37
3 2 12
23 8 27
83 2 109
37 2 39
81 2 49
31 2 61
12 2 3
3 8 9
14 1 32
61 2 47
52 2 66
7 2 36
109 1 2
14 1 34
31 1 25
18 8 16
25 1 3
74 1 9
9 1 39
25 1 1
42 2 8
7 2 79
3 8 37
79 8 80
24 8 9
75 8 76
56 2 62
110 2 113
25 8 55
1 8 30
21 1 37
14 1 42
34 8 25
47 8 65
1 8 3
7 14 3
22 2 3
8 8 9
111 8 51
27 1 23
20 8 25
1 12 5
3 8 16
14 1 7
42 2 1
82 8 51
34 2 20
12 1 1
30 1 29
26 2 57
111 2 82
32 2 24
32 2 20
39 8 9
1 8 5
10 2 1
5 5 1
54 2 62
75 1 74
79 2 7
7 8 14
14 8 31
42 2 7
50 1 38
66 2 46
11 8 27
81 1 65
5 7 7
1 7 7
74 2 28
12 8 16
83 8 84
7 8 21
9 1 3
1 8 14
29 1 35
5 8 14
27 2 52
17 2 50
25 1 34
48 1 46
7 8 109
82 2 111
3 4 5
32 2 1
39 2 20
5 14 3
8 2 34
3 8 21
3 7 5
83 1 3
1 8 21
113 1 54
7 5 1
47 1 14
39 2 1
7 2 108
7 11 3
3 2 2
32 8 25
28 1 14
34 2 7
46 8 65
25 8 57
43 2 5
10 2 5
55 8 56
83 1 4
38 2 55
65 1 61
65 2 108
3 4 1
36 2 7
3 8 30
1 2 44
27 1 11
5 1 15
25 1 76
37 1 36
51 1 82
29 8 30
5 2 32
7 5 5
2 1 1
38 1 21
113 2 110
1 12 3
14 1 24
47 8 51
14 8 10
10 1 9
47 8 48
42 2 13
34 8 9
7 4 1
9 1 8
18 2 3
7 2 12
49 2 81
54 1 9
7 11 5
44 8 5
41 8 52
3 2 6
3 5 5
15 8 3
7 8 37
47 1 9
82 1 21
17 1 19
32 2 7
21 1 3
20 8 9
30 8 14
61 2 31
37 1 7
65 1 110
62 1 31
1 2 34
3 11 5
13 2 42
14 1 8
65 1 27
7 8 25
47 2 46
34 2 24
2 1 5
75 2 7
25 8 35
1 1 43
31 1 21
25 1 20
1 8 6
110 1 25
9 8 40
57 8 41
16 8 17
3 8 23
39 2 5
3 2 22
1 2 39
5 2 18
3 8 14
57 2 40
5 2 42
14 1 39
5 2 39
65 1 47
21 8 61
28 8 29
9 1 42
111 1 48
1 8 2
61 2 113
17 1 16
5 5 7
109 8 84
10 8 7
110 6 83
5 4 7
54 8 113
3 2 34
1 11 3
46 1 21
37 1 3
62 2 54
35 8 29
7 2 34
24 2 32
89 1 11
1 5 3
108 2 7
1 14 7
19 2 16
14 8 38
6 2 7
51 8 49
28 2 74
1 7 5
39 8 14
50 2 17
57 2 26
51 1 31
5 8 2
1 8 25
21 1 42
76 1 7
48 1 17
3 5 7
? 1 CppProgramData/44/1007.cpp

52 2 110
118 1 117
7 8 21
62 8 83
57 2 77
29 2 5
22 2 38
11 8 17
34 2 3
42 2 20
16 1 2
7 7 3
21 1 24
7 2 39
52 1 41
64 1 63
84 1 83
76 1 5
30 2 39
12 8 11
3 12 7
7 2 2
22 2 54
1 2 32
6 8 19
88 8 51
57 1 21
54 1 14
39 2 3
9 8 35
2 8 19
25 8 61
21 8 45
1 2 6
91 1 23
12 8 23
5 7 1
70 2 38
21 1 30
44 2 3
28 8 75
32 8 9
88 2 31
39 2 30
109 1 3
7 2 12
8 8 14
63 1 48
8 8 21
19 1 6
5 14 7
48 1 87
50 2 60
9 1 7
19 2 16
5 1 44
62 1 52
14 1 13
5 2 29
4 8 83
117 8 118
75 8 37
39 8 25
35 1 9
25 1 7
21 1 20
25 1 42
11 2 16
108 8 109
25 1 8
1 8 19
9 8 22
47 2 61
50 2 64
3 2 43
81 8 78
26 8 41
52 2 72
45 2 58
73 1 9
33 1 14
61 8 65
23 1 3
34 8 14
26 1 14
110 8 48
85 8 48
82 2 71
14 1 42
117 1 91
40 8 41
1 14 3
38 1 25
48 1 72
59 2 65
5 11 3
73 8 29
13 8 21
1 2 7
45 2 53
40 1 25
6 1 1
5 2 32
11 1 18
25 1 39
17 8 62
51 2 56
39 2 5
41 1 22
39 2 7
2 8 83
32 2 3
25 8 31
56 2 51
46 2 47
53 8 59
82 8 62
18 1 1
2 2 3
25 1 32
3 2 2
15 1 25
21 8 26
58 1 9
69 1 22
21 8 53
1 1 5
37 2 42
25 8 54
19 1 2
81 2 77
19 1 1
108 1 89
72 2 52
17 1 11
45 2 26
69 8 72
23 1 7
13 8 14
16 8 60
1 14 5
52 8 48
19 8 60
7 2 43
34 2 13
21 8 73
118 1 48
51 8 66
32 2 13
21 1 5
38 8 71
7 2 42
7 5 5
7 4 3
13 8 25
5 8 37
62 2 108
50 1 54
82 1 25
13 2 39
80 1 7
30 1 3
25 8 110
83 1 4
37 1 75
36 2 7
17 2 52
1 12 3
9 8 44
12 2 7
14 8 47
63 8 64
54 8 69
39 8 21
16 8 17
38 2 40
15 2 5
21 8 35
77 1 48
55 2 45
24 8 25
65 1 46
70 1 51
10 1 14
62 1 27
31 8 51
20 2 32
3 5 1
7 14 5
3 2 39
9 1 5
29 8 19
1 1 7
84 1 118
34 2 5
72 8 48
51 8 81
7 8 80
7 2 15
25 1 5
22 1 14
59 1 53
21 8 47
40 1 9
14 8 15
3 7 5
64 2 50
13 8 9
54 8 50
24 8 21
39 2 24
5 8 25
9 1 13
49 8 50
6 8 118
25 8 15
26 1 21
14 8 61
51 8 70
80 2 34
3 2 42
15 1 14
5 5 3
1 11 7
14 8 26
48 1 31
57 2 63
62 1 60
34 2 80
14 1 32
62 8 109
61 2 47
7 2 36
23 8 87
39 2 34
18 8 16
74 1 9
87 2 67
24 8 9
9 8 43
25 8 55
21 1 37
45 1 21
71 1 70
49 2 54
34 8 25
7 14 3
77 2 81
8 8 9
109 1 62
72 2 67
1 12 5
3 8 16
32 8 25
5 12 7
16 1 7
75 8 30
32 2 20
1 11 5
9 1 20
3 2 108
5 4 1
18 8 11
12 1 5
66 2 27
83 8 84
14 8 22
1 8 14
26 8 56
5 8 14
66 1 51
38 8 41
40 2 38
74 1 14
61 1 14
5 14 3
78 1 77
25 8 40
3 8 21
5 2 75
30 1 5
20 2 42
7 2 1
7 11 3
46 8 51
7 1 3
3 2 75
28 1 14
34 2 7
9 1 3
48 2 41
69 2 62
65 1 61
78 1 57
65 2 41
5 11 7
3 8 30
48 8 77
48 1 110
2 1 5
28 8 29
3 2 6
5 5 7
65 8 49
38 1 21
67 1 59
1 5 7
65 8 52
47 8 51
68 2 54
62 1 71
118 1 6
42 2 13
60 1 19
2 8 23
22 8 41
118 13 110
3 8 118
7 12 5
7 8 16
7 11 5
41 8 52
76 1 79
3 5 5
9 8 58
17 1 19
68 1 21
19 8 87
79 1 35
23 1 36
28 2 35
52 2 27
62 8 72
1 2 34
47 2 46
27 8 62
5 2 34
67 2 87
21 8 57
3 8 23
65 8 67
77 2 57
5 2 42
14 1 39
2 2 7
3 2 10
42 2 5
35 1 21
12 2 3
54 2 49
30 8 21
17 1 16
7 7 5
109 8 84
80 1 36
16 1 33
5 4 7
14 8 74
67 2 72
1 11 3
46 1 21
110 2 52
1 8 21
24 2 32
43 1 14
15 1 1
1 7 5
39 8 14
69 1 68
49 1 65
35 8 29
54 2 22
5 8 9
1 4 7
51 1 88
62 1 17
11 1 12
6 8 11
23 8 91
56 1 55
7 8 23
37 8 21
60 1 16
42 8 21
43 1 9
3 7 1
21 8 38
108 2 62
11 1 7
78 8 62
28 1 9
5 8 19
9 1 1
19 1 29
82 6 109
1 8 9
30 1 75
3 8 109
10 1 1
27 2 66
38 1 9
53 2 45
34 8 21
65 2 59
50 1 49
25 1 30
14 1 3
21 1 1
21 1 13
16 2 11
14 1 20
109 1 108
14 1 1
3 4 7
7 12 3
83 1 62
13 2 34
3 8 25
7 5 1
22 1 9
44 8 5
44 1 9
9 8 74
39 2 13
43 8 7
15 8 3
5 12 3
3 8 83
20 8 14
6 1 5
33 2 7
71 2 64
36 8 23
62 1 82
41 1 38
25 8 45
11 1 1
5 8 11
36 8 80
5 1 1
62 2 69
42 2 3
31 2 88
89 1 11
5 1 3
31 1 14
23 1 2
9 1 8
7 2 32
73 8 36
3 11 7
75 1 28
6 2 1
20 8 21
25 8 82
38 2 70
54 1 25
9 1 34
14 1 76
32 8 14
57 8 64
75 2 5
83 1 2
9 1 32
3 5 7
3 2 12
10 2 7
3 12 5
5 2 39
66 1 56
108 2 3
38 2 22
71 8 62
77 8 78
66 8 62
2 8 16
1 5 3
74 8 75
14 8 28
72 1 69
7 4 1
14 1 8
50 8 62
9 8 40
19 1 18
67 8 48
3 2 18
10 2 3
118 8 84
58 8 59
14 1 5
5 8 30
11 1 6
21 8 46
5 7 7
3 4 1
61 1 25
9 8 10
51 1 46
35 2 28
1 7 3
20 2 39
29 1 28
19 1 5
55 1 25
41 1 26
57 1 9
6 2 3
7 1 10
80 8 14
43 8 3
59 8 67
7 8 25
71 2 82
7 2 33
23 2 19
1 8 18
84 1 109
11 8 87
4 2 3
5 8 21
7 7 1
38 2 26
48 8 63
62 1 50
16 2 19
5 8 6
21 1 7
31 1 25
5 8 12
16 1 18
14 8 33
3 2 34
27 2 52
14 8 43
43 2 3
45 2 55
9 1 24
36 1 73
3 2 32
10 1 9
3 1 15
87 1 11
5 2 15
16 1 3
45 1 25
8 2 32
48 1 85
5 8 2
28 8 79
62 2 4
41 1 40
16 8 87
48 2 117
3 8 14
56 8 66
7 4 5
30 8 25
59 1 45
1 2 3
68 8 69
64 1 57
1 12 7
52 1 65
3 1 43
9 8 28
21 1 39
13 2 32
20 2 34
7 1 1
65 1 47
63 2 57
56 1 45
51 1 47
62 1 66
26 2 45
81 1 51
109 2 83
118 2 109
58 2 45
18 2 5
42 8 14
48 8 52
8 8 25
26 2 38
23 1 12
1 1 15
25 1 13
1 8 2
3 1 7
3 8 9
7 1 43
32 2 8
53 1 21
14 1 34
25 1 3
25 1 1
5 2 79
35 8 79
52 1 48
3 2 44
3 8 5
62 1 64
71 1 38
89 8 108
1 8 25
47 8 65
34 2 1
110 6 118
5 8 76
76 8 14
24 2 39
27 1 23
20 8 25
48 1 67
14 1 7
42 2 1
34 2 20
30 1 29
