1 2 3
13 1 5
12 1 11
5 1 12
18 1 13
15 2 19
8 2 13
14 2 4
27 2 22
5 1 4
10 2 10
18 1 20
13 2 13
1 4 1
1 5 1
3 2 18
10 1 5
13 2 20
24 1 18
23 1 5
24 1 1
7 2 7
7 1 1
20 1 22
4 2 14
24 1 3
18 1 23
20 1 19
2 1 1
14 2 14
14 2 1
7 1 2
11 1 10
15 1 5
24 1 2
19 2 27
2 2 1
19 1 18
20 1 15
8 1 7
22 1 18
12 1 1
1 2 14
27 1 20
27 2 27
20 1 27
18 1 8
5 1 14
1 2 11
25 1 24
5 1 1
20 2 23
? 1 CppProgramData/56/1005.cpp

16 1 5
13 1 5
12 1 11
5 1 12
18 1 26
18 1 13
17 2 18
5 1 1
8 2 13
14 2 4
9 1 5
1 2 3
5 1 4
10 2 10
18 1 20
13 2 13
1 4 1
14 2 12
3 2 18
10 1 5
13 2 21
24 1 18
23 1 5
24 1 1
7 2 7
7 1 1
20 1 22
17 1 16
24 1 3
21 2 23
18 1 23
17 1 9
2 1 1
20 1 19
14 2 1
21 1 17
7 1 2
11 1 10
17 1 15
6 1 5
15 2 19
15 1 5
15 2 16
24 1 2
1 2 6
1 5 1
21 1 18
2 2 1
19 1 18
8 1 7
22 1 18
12 1 1
1 1 6
1 2 14
18 1 8
9 2 15
25 1 24
8 2 8
18 1 21
1 2 11
1 1 1
20 1 15
5 1 14
19 2 22
? 1 CppProgramData/56/1020.cpp

16 1 5
13 1 5
12 1 11
5 1 12
18 1 13
17 2 18
5 1 1
8 2 13
14 2 4
9 1 5
1 2 3
5 1 4
10 2 10
18 1 20
13 2 13
1 4 1
14 2 12
3 2 18
10 1 5
5 2 14
13 2 21
24 1 18
23 1 5
24 1 1
7 2 7
7 1 1
4 2 14
12 2 14
17 1 16
24 1 3
21 2 23
18 1 23
17 1 9
14 2 5
2 1 1
14 2 14
20 1 19
14 2 1
21 1 17
7 1 2
11 1 10
15 2 16
17 1 15
6 1 5
15 2 19
15 1 5
9 1 14
24 1 2
1 2 6
1 5 1
21 1 18
2 2 1
19 1 18
8 1 7
12 1 1
1 1 6
1 2 14
18 1 8
9 2 15
25 1 24
18 1 21
21 2 21
1 2 11
1 1 1
20 1 15
5 1 14
? 1 CppProgramData/56/1031.cpp

1 2 3
13 1 5
12 1 11
5 1 12
18 1 13
5 1 1
8 2 13
14 2 4
27 2 22
5 1 4
10 2 10
18 1 20
13 2 13
1 4 1
1 5 1
3 2 18
10 1 5
24 1 18
23 1 5
24 1 1
13 2 20
7 1 1
