1 2 3
1 2 14
11 2 5
2 1 1
24 1 15
14 1 6
11 2 1
6 1 1
1 1 1
13 2 8
8 2 13
8 1 4
14 1 4
24 1 23
7 1 6
15 2 16
19 1 17
20 1 1
17 1 16
1 5 1
4 1 2
4 1 14
6 1 5
7 2 7
1 2 7
1 1 7
17 1 14
6 1 11
16 1 6
23 1 18
14 2 15
20 1 18
26 1 20
15 2 23
18 1 13
10 1 9
6 1 12
19 2 8
17 1 15
12 1 10
13 1 6
4 1 1
3 2 18
1 2 11
8 2 19
18 1 24
2 2 1
18 1 8
15 1 6
9 1 6
19 1 18
18 1 19
9 2 9
12 1 1
20 1 3
1 4 1
1 2 10
17 2 18
11 2 11
? 1 b'CppProgramData/70/1006.cpp'

24 1 23
1 2 3
2 1 1
24 1 15
14 1 6
11 2 1
6 1 1
1 1 1
13 2 19
8 2 13
8 1 4
13 2 8
11 2 5
17 1 14
15 2 16
19 1 17
20 1 1
17 1 16
1 5 1
4 1 2
6 1 5
1 2 7
1 1 7
7 1 6
6 1 11
16 1 6
23 1 18
14 2 15
4 2 4
20 1 18
26 1 20
8 2 8
15 2 23
13 2 24
18 1 13
10 1 9
6 1 12
19 2 8
17 1 15
12 1 10
13 1 6
4 1 1
3 2 18
1 2 11
8 2 19
18 1 24
2 2 1
18 1 8
15 1 6
9 1 6
19 1 18
18 1 19
9 2 9
12 1 1
20 1 3
1 4 1
11 2 12
19 2 13
1 2 10
17 2 18
11 2 11
? 1 b'CppProgramData/70/1007.cpp'

1 2 3
1 2 14
21 2 21
11 2 5
2 1 1
1 1 7
24 1 15
14 1 6
11 2 1
6 1 1
1 1 1
13 2 19
13 2 13
8 2 13
8 1 4
13 2 8
24 1 23
7 1 6
15 2 16
23 1 18
20 1 1
17 1 16
1 5 1
4 1 2
4 1 14
6 1 12
1 2 7
12 2 11
16 1 6
17 1 14
6 1 11
22 1 6
19 1 17
20 1 2
4 2 4
20 1 18
26 1 20
8 2 8
15 2 23
18 1 13
10 1 9
14 2 15
6 1 5
17 1 15
20 2 20
3 1 21
12 1 10
13 1 6
4 1 1
3 2 18
1 2 11
8 2 19
19 2 13
18 1 22
18 1 24
2 2 1
18 1 8
15 1 6
9 1 6
19 1 18
18 1 19
9 2 9
12 1 1
20 1 3
1 4 1
11 2 12
21 1 4
1 2 10
17 2 18
? 1 b'CppProgramData/70/1012.cpp'

1 2 3
1 2 14
21 2 21
11 2 5
2 1 1
24 1 15
14 1 6
11 2 1
6 1 1
13 2 19
11 2 34
13 2 13
