1 2 3
6 1 13
14 1 17
25 1 18
23 1 18
18 1 35
8 1 39
6 1 1
26 1 20
18 2 17
6 1 5
1 2 2
20 1 18
40 1 4
16 1 6
39 1 8
24 1 23
20 1 1
40 2 13
9 1 10
1 1 4
7 1 6
6 1 22
18 1 19
15 1 24
9 2 9
1 1 6
10 1 12
18 1 25
3 2 1
3 1 20
4 1 1
13 2 24
19 2 22
12 1 6
18 1 22
4 1 40
2 1 1
19 2 19
17 1 16
4 2 18
19 1 18
12 1 1
17 1 14
11 1 6
24 2 13
14 1 4
40 2 8
1 1 1
39 1 18
3 2 18
17 2 18
1 1 20
6 1 12
1 2 11
24 1 18
6 1 15
18 2 4
18 1 24
18 1 13
1 5 1
8 2 8
1 4 1
24 1 15
1 2 7
7 1 1
6 1 7
6 1 11
19 1 17
13 2 19
7 2 1
8 1 18
15 2 14
11 2 1
10 1 9
4 1 8
4 2 4
23 2 15
14 1 6
11 2 5
1 2 14
20 1 3
18 1 40
1 1 2
22 2 19
17 1 15
20 1 26
15 1 6
22 1 18
2 2 1
1 1 7
5 1 6
9 1 6
20 1 2
18 1 20
2 1 4
6 1 14
6 1 16
4 1 14
22 1 6
1 1 12
6 1 9
4 1 2
18 1 23
23 1 24
18 2 3
13 1 18
12 1 10
18 1 39
8 2 40
2 1 20
25 2 23
16 2 15
13 2 40
15 2 23
16 1 17
14 2 15
15 2 16
13 1 6
35 1 18
24 1 25
8 1 4
10 2 1
17 1 19
15 1 17
23 2 25
25 1 24
1 2 10
40 1 18
18 1 8
5 2 11
13 2 13
19 2 13
14 2 1
? 1 b'CppProgramData/9/10.cpp'

1 2 3
6 1 13
14 1 17
10 1 12
23 1 18
1 2 32
9 2 9
7 1 1
13 2 24
34 1 6
26 1 20
18 2 17
6 1 5
1 2 2
20 1 18
16 1 6
18 1 13
24 1 23
11 2 11
34 1 10
2 2 1
11 1 1
1 1 4
7 1 6
6 1 22
18 1 19
15 1 24
15 2 16
1 1 6
32 2 1
8 1 39
8 2 19
1 2 18
10 1 34
3 1 20
4 1 1
20 2 20
20 2 40
17 1 16
13 2 8
18 1 22
21 1 3
40 2 20
2 1 1
1 1 7
12 1 6
19 1 18
12 1 1
21 2 21
17 1 14
11 1 6
20 1 1
8 1 32
4 1 21
26 1 40
1 1 1
39 1 18
3 2 18
40 1 1
6 1 11
1 1 20
6 1 12
1 2 11
21 1 4
8 2 13
6 1 15
18 1 24
39 1 8
1 5 1
3 2 1
18 2 1
8 2 8
1 4 1
32 1 2
24 1 15
1 2 7
6 1 1
6 1 7
24 1 18
3 1 21
19 1 17
13 2 19
7 2 1
11 2 12
8 1 18
15 2 14
11 2 1
10 1 9
4 1 8
4 2 4
23 2 15
13 2 13
24 2 24
14 1 6
11 2 5
1 1 11
22 2 13
20 1 3
18 1 40
1 1 2
22 2 19
17 1 15
20 1 26
15 1 6
22 1 18
9 1 10
32 1 8
5 1 6
9 1 6
20 1 2
18 1 20
2 1 4
32 2 4
6 1 14
6 1 16
22 1 6
1 1 12
6 1 9
4 1 2
18 1 23
23 1 24
18 2 3
13 1 18
12 1 10
18 1 39
17 2 18
2 1 20
24 2 13
16 2 15
1 2 1
16 1 17
5 2 11
19 2 22
13 1 6
40 1 26
18 1 8
6 1 34
19 2 8
8 1 4
15 2 23
10 2 1
4 2 32
17 1 19
15 1 17
14 2 15
1 1 40
1 2 10
40 1 18
13 2 22
2 1 32
12 2 11
19 2 13
? 1 b'CppProgramData/9/1002.cpp'

1 2 3
6 1 13
1 1 1
18 2 1
23 1 18
9 2 9
8 1 39
6 1 1
13 2 8
26 1 20
18 2 17
14 1 4
1 2 2
20 1 18
14 2 1
16 1 6
18 1 13
24 1 23
20 1 1
9 1 10
1 1 4
7 1 6
6 1 16
18 1 19
15 1 24
15 2 16
1 1 6
10 1 12
1 2 18
3 1 20
4 1 1
17 1 16
15 2 23
2 1 1
19 2 19
12 1 6
19 1 18
1 1 7
14 1 17
17 1 14
11 1 6
6 1 5
40 2 8
26 1 40
4 2 4
39 1 18
3 2 18
40 1 1
1 1 20
6 1 12
1 2 11
24 1 18
6 1 15
18 1 24
39 1 8
1 5 1
3 2 1
14 1 6
8 2 8
1 4 1
24 1 15
1 2 7
7 1 1
6 1 7
6 1 11
19 1 17
13 2 19
7 2 1
8 1 18
15 2 14
11 2 1
10 1 9
4 1 8
23 2 15
26 1 8
11 2 5
20 1 3
18 1 40
1 1 2
17 1 15
6 1 9
15 1 6
2 2 1
40 1 26
5 1 6
9 1 6
20 1 2
18 1 20
