1 2 3
11 2 1
25 1 18
2 2 1
12 1 1
19 2 13
13 2 13
6 1 1
1 1 1
20 1 2
13 2 19
26 1 8
28 2 25
8 2 20
17 1 15
14 2 15
13 1 6
20 1 3
24 1 28
27 1 18
17 1 16
1 1 7
4 1 2
23 1 18
4 1 14
1 5 1
23 2 28
15 2 23
16 1 6
20 1 1
12 1 10
8 2 8
3 2 18
1 2 11
28 1 24
1 4 1
4 1 1
18 1 8
24 1 15
18 1 27
27 2 24
15 2 16
15 2 18
8 2 19
8 1 4
28 2 28
19 1 17
21 1 4
11 2 5
1 2 7
24 1 25
7 1 6
19 2 19
27 1 15
8 2 13
20 2 20
6 1 11
20 1 18
18 1 13
15 1 6
9 1 6
21 2 21
9 2 9
6 1 5
10 1 9
19 1 18
13 2 27
4 2 4
1 2 10
14 1 6
24 1 23
18 1 24
17 2 18
6 1 12
26 1 20
18 1 19
1 2 14
3 1 21
17 1 14
2 1 1
? 1 b'CppProgramData/8/1006.cpp'

1 2 3
2 2 1
12 1 1
19 2 13
6 1 1
26 1 29
20 1 2
26 1 8
29 1 2
29 1 3
17 1 15
14 2 15
13 1 6
20 1 3
14 1 6
29 1 1
17 1 16
1 1 7
4 1 2
23 1 18
4 1 14
8 2 29
15 2 23
16 1 6
20 1 1
12 1 10
3 2 18
1 2 11
9 2 9
1 1 1
4 1 1
18 1 8
24 1 15
13 2 19
15 2 16
29 2 29
8 2 19
8 1 4
19 1 17
11 2 5
1 2 7
11 2 1
7 1 6
19 2 19
5 2 11
8 2 8
8 2 13
20 2 20
6 1 11
20 1 18
18 1 13
15 1 6
13 2 13
6 1 5
10 1 9
19 1 18
4 2 4
29 2 20
1 2 10
9 1 6
24 1 23
18 1 24
17 2 18
6 1 12
26 1 20
18 1 19
1 2 14
17 1 14
2 1 1
? 1 b'CppProgramData/8/1008.cpp'

1 2 3
11 2 1
25 1 18
2 2 1
12 1 1
13 2 13
6 1 1
1 1 1
20 1 2
26 1 8
8 2 20
17 1 15
14 2 15
13 1 6
20 1 3
9 1 6
15 2 23
17 1 16
1 1 7
4 1 2
23 1 18
1 5 1
16 1 6
20 1 1
12 1 10
3 2 18
1 2 11
9 2 9
4 1 1
18 1 8
24 1 15
13 2 19
15 2 16
8 2 19
8 1 4
19 1 17
21 1 4
11 2 5
1 2 7
24 1 25
7 1 6
19 2 19
5 2 11
8 2 13
20 2 20
6 1 11
20 1 18
18 1 13
15 1 6
21 2 21
6 1 5
10 1 9
19 1 18
4 2 4
1 2 10
14 1 6
24 1 23
18 1 24
17 2 18
6 1 12
26 1 20
18 1 19
23 2 25
3 1 21
17 1 14
2 1 1
? 1 b'CppProgramData/8/1018.cpp'

1 2 3
2 2 1
12 1 1
13 2 13
6 1 1
1 1 1
20 1 2
26 1 8
8 2 20
17 1 15
14 2 15
13 1 6
20 1 3
9 1 6
15 2 23
17 1 16
1 1 7
4 1 2
23 1 18
1 5 1
16 1 6
20 1 1
12 1 10
24 2 24
3 2 18
1 2 11
9 2 9
1 4 1
4 1 1
6 1 12
24 1 15
15 2 16
8 1 4
19 1 17
21 1 4
11 2 5
1 2 7
11 2 1
7 1 6
19 2 19
5 2 11
20 2 20
6 1 11
20 1 18
18 1 13
15 1 6
21 2 21
6 1 5
10 1 9
19 1 18
4 2 4
1 2 10
14 1 6
24 1 23
18 1 24
17 2 18
26 1 20
18 1 19
19 2 24
3 1 21
17 1 14
2 1 1
? 1 b'CppProgramData/8/102.cpp'

1 2 3
2 2 1
12 1 1
19 2 13
11 2 12
6 1 1
1 1 1
8 1 32
34 1 10
17 1 15
14 2 15
13 1 6
20 1 3
9 1 6
1 2 10
15 2 23
6 1 34
2 1 1
17 1 16
1 1 7
4 1 2
23 1 18
4 1 14
1 5 1
16 1 6
18 1 13
12 1 10
17 2 18
1 2 32
3 2 18
1 2 11
9 2 9
1 4 1
4 1 1
18 1 8
24 1 15
13 2 19
15 2 16
8 1 4
4 2 32
19 1 17
11 2 11
11 2 5
1 2 7
11 2 1
7 1 6
19 2 19
8 2 8
8 2 13
6 1 11
20 1 18
15 1 6
13 2 13
6 1 5
10 1 9
19 1 18
4 2 4
20 1 1
14 1 6
24 1 23
18 1 24
32 2 4
11 2 34
6 1 12
26 1 20
18 1 19
1 2 14
17 1 14
2 1 32
? 1 b'CppProgramData/8/1022.cpp'

1 2 3
2 2 1
12 1 1
19 2 13
14 1 4
6 1 1
1 1 1
20 1 2
22 1 6
26 1 8
8 2 20
17 1 15
14 2 15
13 1 6
20 1 3
15 2 23
17 1 16
1 1 7
4 1 2
23 1 18
4 1 14
1 5 1
16 1 6
20 1 1
12 1 10
1 2 11
1 4 1
4 1 1
6 1 12
24 1 15
13 2 19
15 2 16
8 2 19
8 1 4
19 1 17
19 2 19
11 2 5
1 2 7
11 2 1
7 1 6
18 1 22
13 2 22
20 2 20
6 1 11
20 1 18
18 1 13
15 1 6
13 2 13
6 1 5
3 2 18
