1 2 3
24 1 23
18 1 3
13 1 8
1 2 11
10 1 9
11 2 1
2 2 1
22 1 6
25 1 23
20 1 1
19 2 22
1 2 2
23 2 15
7 1 1
8 1 4
1 1 2
2 1 1
17 1 16
20 1 2
9 1 6
1 5 1
7 2 1
6 1 11
11 1 5
13 2 24
19 1 17
26 1 20
18 2 3
8 2 19
18 1 24
6 1 5
12 2 11
19 2 8
3 1 1
25 2 23
24 1 19
16 1 6
22 1 19
20 1 18
23 1 18
18 2 17
6 1 12
19 1 24
8 1 13
12 1 11
15 2 23
7 1 6
1 1 11
16 2 15
11 2 12
19 1 18
17 1 15
23 2 25
23 1 15
13 2 8
12 1 10
22 2 19
15 1 14
5 2 11
14 1 6
18 1 17
18 1 19
10 2 1
6 1 1
4 1 2
24 2 13
15 1 6
1 1 7
1 2 7
11 2 11
13 1 6
3 2 1
4 2 4
11 2 5
24 1 15
17 1 14
3 2 18
24 1 25
11 1 11
15 2 14
1 2 10
19 1 8
18 1 8
4 1 4
4 1 1
25 1 18
10 1 1
1 1 1
11 1 1
17 2 18
20 1 3
16 1 15
18 1 13
24 1 13
5 1 11
24 2 19
8 2 13
15 2 16
1 4 1
14 2 15
19 2 24
12 1 1
18 1 22
? 1 b'CppProgramData/85/1001.cpp'

1 2 3
24 1 25
18 1 3
9 2 9
1 2 11
10 1 9
2 2 1
22 1 6
10 2 1
20 1 1
1 2 2
27 1 15
23 2 15
7 1 1
8 1 4
1 1 2
2 1 1
17 1 16
20 1 2
6 1 1
1 5 1
7 2 1
15 2 18
6 1 11
14 2 1
11 1 5
11 2 1
19 1 17
23 1 18
18 2 3
18 1 24
6 1 5
23 2 28
23 2 25
12 2 11
22 2 27
28 1 23
3 1 1
25 2 23
13 1 8
16 1 6
20 1 18
26 1 20
27 1 18
18 2 17
6 1 12
8 1 13
11 2 11
12 1 11
15 2 23
13 2 24
7 1 6
1 1 11
16 2 15
11 2 12
19 1 18
13 2 30
4 1 4
23 1 15
13 2 8
12 1 10
30 2 13
13 1 13
28 2 23
15 1 14
1 2 14
5 2 11
14 1 6
18 1 17
18 1 19
25 1 23
9 1 6
4 1 2
24 2 13
4 1 14
15 1 6
1 2 7
9 1 9
18 1 27
13 1 6
3 2 1
4 2 4
11 2 5
11 1 12
24 1 15
17 1 14
3 2 18
24 1 23
11 1 11
15 2 14
24 1 28
14 1 4
17 1 15
18 1 8
1 4 1
18 1 15
22 1 27
27 2 8
4 1 1
25 1 18
17 2 18
10 1 1
1 1 1
11 1 1
1 2 10
20 1 3
16 1 15
18 1 13
24 1 13
18 1 30
27 2 22
5 1 11
30 1 13
1 1 7
18 2 15
28 1 24
8 2 13
15 2 16
8 2 27
13 2 13
27 1 8
14 2 15
14 1 1
12 1 1
18 1 22
? 1 b'CppProgramData/85/1005.cpp'

1 2 3
24 1 25
18 1 3
1 5 1
1 2 11
10 1 9
11 2 1
2 2 1
22 1 6
25 1 23
20 1 1
19 2 22
1 2 2
23 2 15
7 1 1
8 1 4
1 1 2
2 1 1
17 1 16
20 1 2
9 1 6
8 2 8
7 2 1
6 1 11
14 2 1
11 1 5
8 2 13
19 1 17
23 1 18
18 2 3
8 2 19
18 1 24
6 1 5
6 1 12
19 2 8
3 1 1
25 2 23
13 1 8
16 1 6
22 1 19
20 1 18
19 2 13
26 1 20
18 2 17
21 1 4
1 2 7
1 2 32
8 1 13
15 2 23
13 2 24
20 2 20
7 1 6
1 1 11
16 2 15
19 1 18
17 1 15
23 2 25
23 1 15
13 2 8
12 1 10
15 1 14
1 2 14
5 2 11
14 1 6
18 1 17
18 1 19
8 1 8
10 2 1
6 1 1
4 1 2
24 2 13
4 1 14
15 1 6
2 1 32
11 2 11
13 1 6
3 2 1
11 2 5
22 2 19
32 2 1
17 1 14
3 2 18
18 1 35
24 1 23
19 1 13
11 1 11
15 2 14
20 1 20
1 2 10
19 1 8
18 1 8
32 1 1
4 1 1
25 1 18
1 1 1
10 1 1
11 1 1
17 2 18
3 1 21
20 1 3
16 1 15
18 1 13
24 1 15
24 1 13
13 2 19
5 1 11
1 1 7
15 2 16
1 4 1
14 2 15
14 1 1
12 1 1
18 1 22
? 1 b'CppProgramData/85/1007.cpp'

1 2 3
24 1 25
18 1 3
9 2 9
13 1 8
23 2 28
1 2 11
7 1 7
10 1 9
2 2 1
22 1 6
10 2 1
20 1 1
19 2 22
1 2 2
23 2 15
8 1 4
1 1 2
2 1 1
17 1 16
20 1 2
31 1 23
1 5 1
7 2 1
6 1 11
14 2 1
11 1 5
11 2 1
19 1 17
23 1 18
18 2 3
31 1 25
18 1 24
6 1 5
11 1 11
23 2 25
31 1 15
28 1 23
