1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
22 1 30
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
21 2 30
5 2 1
28 1 27
25 1 10
26 1 7
30 1 22
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
7 2 20
17 2 21
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1002.java

1 2 3
19 1 18
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
18 1 10
1 2 20
19 1 17
7 2 20
19 1 13
14 1 1
5 2 5
32 1 14
1 2 7
20 1 22
26 1 5
13 1 10
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
13 2 17
32 2 32
4 2 27
8 2 12
6 1 1
5 2 1
28 1 27
25 1 10
26 1 7
23 1 19
17 2 21
10 1 1
2 2 2
22 2 25
14 1 13
3 1 2
26 1 6
23 2 22
2 1 10
21 1 20
13 1 14
16 2 25
26 1 1
14 1 6
28 1 4
1 5 1
17 1 10
23 1 20
16 2 23
20 1 26
10 1 8
20 1 16
16 2 16
26 2 26
10 1 12
20 1 23
8 2 9
6 2 1
22 2 16
16 1 10
27 1 1
8 2 1
17 2 18
27 1 5
1 2 13
27 1 20
1 1 8
22 1 21
20 1 15
2 1 1
7 1 32
1 1 1
? 1 JavaProgramData/93/1005.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1008.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
13 1 10
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
4 2 27
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
1 2 13
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
1 5 1
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
14 1 13
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1013.java

1 2 3
9 2 8
15 2 22
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
1 4 1
20 1 15
1 2 7
20 1 22
26 1 5
13 1 10
22 1 17
5 2 1
1 2 8
12 1 3
26 1 20
5 2 6
1 1 11
1 2 11
6 1 1
10 2 10
28 1 27
25 1 10
26 1 7
1 2 13
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
11 1 10
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
1 5 1
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
22 2 16
16 1 10
14 1 13
20 1 10
8 2 1
27 1 5
4 2 27
15 2 15
27 1 20
1 1 8
22 1 21
7 2 20
10 1 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/102.java

1 2 3
9 2 8
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
22 2 22
26 1 1
14 1 6
28 1 4
17 1 10
8 2 8
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1020.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
27 1 1
3 1 2
26 1 6
16 2 25
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
22 2 16
16 1 10
1 5 1
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/103.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
14 1 1
5 2 5
20 1 15
21 2 24
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
22 2 22
26 1 1
14 1 6
28 1 4
17 1 10
8 2 8
20 1 26
10 1 8
20 1 16
22 1 24
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
24 1 20
8 2 1
27 1 5
1 2 7
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1030.java

1 2 3
9 2 8
8 2 12
15 1 14
4 1 3
20 1 25
34 1 17
10 1 9
2 1 10
20 1 33
7 2 20
16 2 16
14 1 1
5 2 5
20 1 15
21 2 24
20 1 31
41 1 17
26 1 5
4 2 27
20 1 34
1 2 8
12 1 3
33 1 10
5 2 6
1 2 7
34 1 20
6 1 1
17 2 20
5 2 1
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
8 2 41
27 1 1
3 1 2
26 1 6
41 1 24
26 1 20
16 2 25
26 1 1
14 1 6
16 2 31
10 1 41
28 1 4
17 1 10
8 2 8
20 1 26
10 1 8
20 1 16
33 2 16
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
41 2 8
8 2 1
2 1 1
27 1 5
34 2 16
27 1 20
1 1 8
21 1 10
12 1 1
24 1 10
41 1 21
1 2 20
1 1 1
? 1 JavaProgramData/93/1036.java

1 2 3
9 2 8
30 2 30
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
1 4 1
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
22 1 30
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
21 2 30
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
30 1 22
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
8 2 1
27 1 5
27 1 20
1 1 8
22 1 21
7 2 20
17 2 21
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1039.java

1 2 3
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
21 2 24
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
20 1 26
10 1 8
20 1 16
22 1 24
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
20 1 20
24 1 20
8 2 1
27 1 5
15 2 15
1 2 7
27 1 20
1 1 8
22 1 21
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1040.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
20 1 39
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
20 2 16
6 1 1
5 2 1
28 1 27
25 1 10
26 1 7
22 2 39
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
39 2 22
26 1 1
14 1 6
28 1 4
17 1 10
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
20 1 20
8 2 1
27 1 5
5 2 6
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1044.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
16 2 15
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
27 1 1
3 1 2
26 1 6
16 2 25
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
22 2 16
16 1 10
1 5 1
8 2 1
27 1 5
15 2 15
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1049.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
14 1 1
5 2 5
20 1 15
21 2 24
16 2 22
20 1 22
26 1 5
4 2 27
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
6 1 1
5 2 1
28 1 27
25 1 10
26 1 7
17 2 21
10 1 1
22 2 25
27 1 1
3 1 2
26 1 6
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
17 1 10
20 1 26
10 1 8
20 1 16
22 1 24
10 1 12
8 2 9
6 2 1
16 1 10
1 5 1
24 1 20
8 2 1
27 1 5
1 2 7
27 1 20
1 1 8
22 1 21
2 1 1
1 2 20
1 1 1
? 1 JavaProgramData/93/1052.java

1 2 3
9 2 8
1 4 1
15 1 14
4 1 3
20 1 25
12 1 1
10 1 9
2 1 10
16 2 16
14 1 1
5 2 5
20 1 15
1 2 7
16 2 22
20 1 22
26 1 5
13 1 10
22 1 17
1 2 8
12 1 3
26 1 20
5 2 6
4 2 27
6 1 1
5 2 1
15 2 16
28 1 27
25 1 10
26 1 7
1 2 13
17 2 21
10 1 1
27 1 1
3 1 2
26 1 6
16 2 25
21 1 20
8 2 12
26 1 1
14 1 6
28 1 4
1 5 1
17 1 10
22 2 22
20 1 26
10 1 8
20 1 16
10 1 12
8 2 9
6 2 1
22 2 16
16 1 10
14 1 13
8 2 1
27 1 5
15 2 15
27 1 20
1 1 8
22 1 21
7 2 20
2 1 1
1 2 20
